#	LAMMPS	data	file	written	by	OVITO	Basic	3.6.0
1098	atoms							
6	atom	types						
0.0	22.0	xlo	xhi					
0.0	22.0	ylo	yhi					
0.0	22.0	zlo	zhi					
								
Masses								
								
1	1.0079	#	H					
2	15.9994	#	O					
3	26.9815	#	Al					
4	28.0855	#	Si					
5	39.0983	#	K					
6	40.0780	#	Ca					
								
Atoms	#	charge						
								
614	2	0	15.987	6.704	10.541			
615	2	0	14.586	5.370	12.360			
616	2	0	15.312	7.892	12.820			
617	2	0	13.446	7.349	11.011			
618	1	0	15.874	5.935	9.964			
619	1	0	13.707	5.277	12.756			
620	1	0	16.232	7.770	13.095			
621	1	0	13.415	8.311	10.900			
622	4	0	10.018	1.287	2.453			
623	2	0	9.505	0.161	1.395			
624	2	0	8.898	2.461	2.576			
625	2	0	10.256	0.594	3.907			
626	2	0	11.417	1.935	1.932			
627	1	0	9.133	0.538	0.585			
628	1	0	9.263	3.307	2.873			
629	1	0	9.539	-0.002	4.168			
630	1	0	12.192	1.399	2.156			
631	4	0	13.433	11.867	6.295			
632	2	0	13.680	13.096	7.332			
633	2	0	12.129	12.188	5.377			
634	2	0	14.745	11.688	5.347			
635	2	0	13.178	10.489	7.123			
636	1	0	12.869	13.401	7.765			
637	1	0	11.709	11.394	5.017			
638	1	0	15.089	12.526	5.007			
639	1	0	13.997	10.060	7.409			
640	4	0	15.650	16.510	2.732			
641	2	0	15.526	16.720	4.341			
642	2	0	14.347	17.154	2.001			
643	2	0	17.003	17.240	2.194			
644	2	0	15.726	14.921	2.387			
645	1	0	14.646	16.511	4.687			
646	1	0	14.163	16.765	1.134			
647	1	0	17.131	18.126	2.563			
648	1	0	16.616	14.552	2.486			
649	4	0	9.634	21.058	10.860			
650	2	0	10.504	21.145	9.487			
651	2	0	8.153	21.682	10.600			
652	2	0	9.506	19.502	11.321			
653	2	0	10.373	21.907	12.036			
654	1	0	10.430	22.001	9.040			
655	1	0	7.726	22.000	11.408			
656	1	0	9.291	18.903	10.591			
657	1	0	11.080	21.413	12.475			
658	4	0	19.744	1.781	11.851			
659	2	0	19.663	3.368	12.199			
660	2	0	19.373	0.917	13.179			
661	2	0	18.695	1.435	10.655			
662	2	0	21.251	1.399	11.369			
663	1	0	20.086	3.599	13.039			
664	1	0	19.743	0.022	13.169			
665	1	0	17.826	1.843	10.779			
666	1	0	21.413	1.593	10.434			
667	4	0	7.564	16.419	18.883			
668	2	0	8.145	17.514	19.938			
669	2	0	6.166	16.964	18.254			
670	2	0	8.651	16.184	17.694			
671	2	0	7.292	15.008	19.648			
672	1	0	7.469	17.865	20.536			
673	1	0	5.592	16.256	17.926			
674	1	0	9.029	17.007	17.354			
675	1	0	8.090	14.466	19.743			
676	4	0	1.381	9.392	19.215			
677	2	0	2.111	9.783	20.616			
678	2	0	2.378	8.460	18.328			
679	2	0	0.003	8.583	19.530			
680	2	0	1.029	10.744	18.379			
681	1	0	3.031	10.061	20.504			
682	1	0	2.190	8.494	17.379			
683	1	0	0.107	7.902	20.211			
684	1	0	0.207	11.167	18.668			
685	4	0	18.573	11.862	1.395			
686	2	0	19.825	11.914	0.356			
687	2	0	18.658	10.497	2.276			
688	2	0	18.632	13.159	2.377			
689	2	0	17.171	11.879	0.568			
690	1	0	19.980	11.074	-0.099			
691	1	0	17.802	10.216	2.629			
692	1	0	19.519	13.338	2.722			
693	1	0	16.894	12.769	0.306			
